timestamp,timestampType,partition,offset,key,value,headers,exceededFields
1759138055029,CREATE_TIME,5,26081,"""NASA_BATTERY_2""","{""alert_level"":""WARNING"",""current"":0.095,""encryption_applied"":true,""health_score"":72.53,""security_validated"":true,""source"":""automotive_telematics_gateway"",""temperature"":34.82,""timestamp"":1759138055,""vehicle_id"":""NASA_BATTERY_2"",""voltage"":4.386}",[],
1759138054926,CREATE_TIME,5,26080,"""NASA_BATTERY_2""","{""alert_level"":""WARNING"",""current"":0.098,""encryption_applied"":true,""health_score"":62.35,""security_validated"":true,""source"":""automotive_telematics_gateway"",""temperature"":27.32,""timestamp"":1759138054,""vehicle_id"":""NASA_BATTERY_2"",""voltage"":4.232}",[],
1759138054824,CREATE_TIME,5,26079,"""NASA_BATTERY_2""","{""alert_level"":""WARNING"",""current"":0.122,""encryption_applied"":true,""health_score"":71.08,""security_validated"":true,""source"":""automotive_telematics_gateway"",""temperature"":2.39,""timestamp"":1759138054,""vehicle_id"":""NASA_BATTERY_2"",""voltage"":4.262}",[],
1759138054721,CREATE_TIME,5,26078,"""NASA_BATTERY_2""","{""alert_level"":""CRITICAL"",""current"":0.145,""encryption_applied"":true,""health_score"":70.38,""security_validated"":true,""source"":""automotive_telematics_gateway"",""temperature"":44.07,""timestamp"":1759138054,""vehicle_id"":""NASA_BATTERY_2"",""voltage"":4.162}",[],
1759138054619,CREATE_TIME,5,26077,"""NASA_BATTERY_2""","{""alert_level"":""WARNING"",""current"":0.15,""encryption_applied"":true,""health_score"":71.26,""security_validated"":true,""source"":""automotive_telematics_gateway"",""temperature"":27.51,""timestamp"":1759138054,""vehicle_id"":""NASA_BATTERY_2"",""voltage"":4.148}",[],
1759138054516,CREATE_TIME,5,26076,"""NASA_BATTERY_2""","{""alert_level"":""WARNING"",""current"":0.176,""encryption_applied"":true,""health_score"":67.23,""security_validated"":true,""source"":""automotive_telematics_gateway"",""temperature"":26.34,""timestamp"":1759138054,""vehicle_id"":""NASA_BATTERY_2"",""voltage"":4.643}",[],
1759138054414,CREATE_TIME,5,26075,"""NASA_BATTERY_2""","{""alert_level"":""WARNING"",""current"":0.204,""encryption_applied"":true,""health_score"":75.61,""security_validated"":true,""source"":""automotive_telematics_gateway"",""temperature"":5.06,""timestamp"":1759138054,""vehicle_id"":""NASA_BATTERY_2"",""voltage"":4.448}",[],
1759138054312,CREATE_TIME,5,26074,"""NASA_BATTERY_2""","{""alert_level"":""WARNING"",""current"":0.253,""encryption_applied"":true,""health_score"":68.55,""security_validated"":true,""source"":""automotive_telematics_gateway"",""temperature"":30.81,""timestamp"":1759138054,""vehicle_id"":""NASA_BATTERY_2"",""voltage"":3.983}",[],
1759138054209,CREATE_TIME,5,26073,"""NASA_BATTERY_2""","{""alert_level"":""WARNING"",""current"":0.039,""encryption_applied"":true,""health_score"":68.32,""security_validated"":true,""source"":""automotive_telematics_gateway"",""temperature"":28.95,""timestamp"":1759138054,""vehicle_id"":""NASA_BATTERY_2"",""voltage"":4.207}",[],
1759138054107,CREATE_TIME,3,14215,"""NASA_BATTERY_3""","{""alert_level"":""CRITICAL"",""current"":1.491,""encryption_applied"":true,""health_score"":73.99,""security_validated"":true,""source"":""automotive_telematics_gateway"",""temperature"":42.88,""timestamp"":1759138054,""vehicle_id"":""NASA_BATTERY_3"",""voltage"":3.636}",[],
